Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Calcule S/L e (L-I)/(L-S) para L=6.72 mm, I=4.82 mm, S=3.65 mm.	S/L = 3.65/6.72 = 0.54; (L-I)/(L-S) = 0.62. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.6 mm, I=1.86 mm, S=0.75 mm.	S/L = 0.75/2.6 = 0.29; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.34 mm, I=3.1 mm, S=2.71 mm.	S/L = 2.71/4.34 = 0.62; (L-I)/(L-S) = 0.76. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.97 mm, I=1.38 mm, S=0.82 mm.	S/L = 0.82/1.97 = 0.42; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.74 mm, I=6.01 mm, S=2.43 mm.	S/L = 2.43/6.74 = 0.36; (L-I)/(L-S) = 0.17. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.37 mm, I=4.12 mm, S=3.66 mm.	S/L = 3.66/5.37 = 0.68; (L-I)/(L-S) = 0.73. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.67 mm, I=2.6 mm, S=1.18 mm.	S/L = 1.18/3.67 = 0.32; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.44 mm, I=2.17 mm, S=1.3 mm.	S/L = 1.3/2.44 = 0.53; (L-I)/(L-S) = 0.24. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.25 mm, I=4.24 mm, S=2.88 mm.	S/L = 2.88/5.25 = 0.55; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.91 mm, I=1.65 mm, S=0.8 mm.	S/L = 0.8/1.91 = 0.42; (L-I)/(L-S) = 0.23. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.45 mm, I=1.9 mm, S=0.74 mm.	S/L = 0.74/2.45 = 0.30; (L-I)/(L-S) = 0.32. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.78 mm, I=3.66 mm, S=1.72 mm.	S/L = 1.72/5.78 = 0.30; (L-I)/(L-S) = 0.52. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.32 mm, I=4.31 mm, S=1.86 mm.	S/L = 1.86/6.32 = 0.29; (L-I)/(L-S) = 0.45. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.48 mm, I=3.57 mm, S=2.93 mm.	S/L = 2.93/6.48 = 0.45; (L-I)/(L-S) = 0.82. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.55 mm, I=1.54 mm, S=0.75 mm.	S/L = 0.75/2.55 = 0.29; (L-I)/(L-S) = 0.56. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.71 mm, I=2.21 mm, S=0.8 mm.	S/L = 0.8/2.71 = 0.30; (L-I)/(L-S) = 0.26. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.88 mm, I=1.63 mm, S=0.78 mm.	S/L = 0.78/1.88 = 0.41; (L-I)/(L-S) = 0.23. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.48 mm, I=2.16 mm, S=0.82 mm.	S/L = 0.82/3.48 = 0.24; (L-I)/(L-S) = 0.5. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.66 mm, I=4.3 mm, S=3.27 mm.	S/L = 3.27/5.66 = 0.58; (L-I)/(L-S) = 0.57. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.28 mm, I=3.69 mm, S=2.33 mm.	S/L = 2.33/4.28 = 0.54; (L-I)/(L-S) = 0.3. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.37 mm, I=1.78 mm, S=1.55 mm.	S/L = 1.55/2.37 = 0.65; (L-I)/(L-S) = 0.72. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.03 mm, I=1.75 mm, S=1.45 mm.	S/L = 1.45/2.03 = 0.71; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.51 mm, I=3.31 mm, S=2.91 mm.	S/L = 2.91/4.51 = 0.65; (L-I)/(L-S) = 0.75. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.12 mm, I=1.57 mm, S=0.9 mm.	S/L = 0.9/2.12 = 0.42; (L-I)/(L-S) = 0.45. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.37 mm, I=4.01 mm, S=3.41 mm.	S/L = 3.41/5.37 = 0.64; (L-I)/(L-S) = 0.69. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.18 mm, I=1.27 mm, S=0.87 mm.	S/L = 0.87/2.18 = 0.40; (L-I)/(L-S) = 0.69. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.14 mm, I=1.41 mm, S=0.98 mm.	S/L = 0.98/2.14 = 0.46; (L-I)/(L-S) = 0.63. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.65 mm, I=3.16 mm, S=2.83 mm.	S/L = 2.83/4.65 = 0.61; (L-I)/(L-S) = 0.82. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.56 mm, I=3.34 mm, S=2.28 mm.	S/L = 2.28/4.56 = 0.50; (L-I)/(L-S) = 0.54. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.32 mm, I=1.93 mm, S=1.58 mm.	S/L = 1.58/2.32 = 0.68; (L-I)/(L-S) = 0.53. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.18 mm, I=4.44 mm, S=3.31 mm.	S/L = 3.31/5.18 = 0.64; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.92 mm, I=2.13 mm, S=1.01 mm.	S/L = 1.01/2.92 = 0.35; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.56 mm, I=2.6 mm, S=1.5 mm.	S/L = 1.5/3.56 = 0.42; (L-I)/(L-S) = 0.47. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.29 mm, I=1.65 mm, S=1.18 mm.	S/L = 1.18/2.29 = 0.52; (L-I)/(L-S) = 0.58. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.75 mm, I=2.29 mm, S=1.96 mm.	S/L = 1.96/3.75 = 0.52; (L-I)/(L-S) = 0.82. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.15 mm, I=1.9 mm, S=0.76 mm.	S/L = 0.76/2.15 = 0.35; (L-I)/(L-S) = 0.18. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.3 mm, I=1.94 mm, S=1.55 mm.	S/L = 1.55/2.3 = 0.67; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.69 mm, I=3.68 mm, S=2.42 mm.	S/L = 2.42/4.69 = 0.52; (L-I)/(L-S) = 0.44. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.51 mm, I=2.1 mm, S=1.14 mm.	S/L = 1.14/3.51 = 0.32; (L-I)/(L-S) = 0.59. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.26 mm, I=4.47 mm, S=3.7 mm.	S/L = 3.7/5.26 = 0.70; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.55 mm, I=5.2 mm, S=3.54 mm.	S/L = 3.54/5.55 = 0.64; (L-I)/(L-S) = 0.17. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.63 mm, I=2.84 mm, S=1.33 mm.	S/L = 1.33/3.63 = 0.37; (L-I)/(L-S) = 0.34. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.22 mm, I=3.34 mm, S=1.37 mm.	S/L = 1.37/5.22 = 0.26; (L-I)/(L-S) = 0.49. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.2 mm, I=4.32 mm, S=3.32 mm.	S/L = 3.32/6.2 = 0.54; (L-I)/(L-S) = 0.65. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.79 mm, I=4.18 mm, S=3.41 mm.	S/L = 3.41/4.79 = 0.71; (L-I)/(L-S) = 0.44. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.87 mm, I=6.03 mm, S=4.15 mm.	S/L = 4.15/6.87 = 0.60; (L-I)/(L-S) = 0.31. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.14 mm, I=2.88 mm, S=2.48 mm.	S/L = 2.48/5.14 = 0.48; (L-I)/(L-S) = 0.85. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.11 mm, I=4.01 mm, S=1.8 mm.	S/L = 1.8/6.11 = 0.29; (L-I)/(L-S) = 0.49. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.45 mm, I=3.67 mm, S=1.97 mm.	S/L = 1.97/5.45 = 0.36; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.83 mm, I=1.64 mm, S=1.08 mm.	S/L = 1.08/1.83 = 0.59; (L-I)/(L-S) = 0.25. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.88 mm, I=2.35 mm, S=1.64 mm.	S/L = 1.64/3.88 = 0.42; (L-I)/(L-S) = 0.68. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.96 mm, I=1.66 mm, S=0.78 mm.	S/L = 0.78/1.96 = 0.40; (L-I)/(L-S) = 0.25. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.98 mm, I=2.73 mm, S=1.51 mm.	S/L = 1.51/3.98 = 0.38; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.55 mm, I=4.78 mm, S=3.17 mm.	S/L = 3.17/5.55 = 0.57; (L-I)/(L-S) = 0.32. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.24 mm, I=1.28 mm, S=0.56 mm.	S/L = 0.56/2.24 = 0.25; (L-I)/(L-S) = 0.57. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.01 mm, I=4.11 mm, S=2.05 mm.	S/L = 2.05/5.01 = 0.41; (L-I)/(L-S) = 0.3. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.24 mm, I=3.9 mm, S=2.31 mm.	S/L = 2.31/5.24 = 0.44; (L-I)/(L-S) = 0.46. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.22 mm, I=2.74 mm, S=1.13 mm.	S/L = 1.13/3.22 = 0.35; (L-I)/(L-S) = 0.23. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.04 mm, I=2.68 mm, S=1.94 mm.	S/L = 1.94/4.04 = 0.48; (L-I)/(L-S) = 0.65. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.33 mm, I=3.54 mm, S=1.33 mm.	S/L = 1.33/4.33 = 0.31; (L-I)/(L-S) = 0.26. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.86 mm, I=3.05 mm, S=1.08 mm.	S/L = 1.08/3.86 = 0.28; (L-I)/(L-S) = 0.29. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.37 mm, I=2.14 mm, S=0.91 mm.	S/L = 0.91/3.37 = 0.27; (L-I)/(L-S) = 0.5. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.13 mm, I=2.13 mm, S=0.75 mm.	S/L = 0.75/3.13 = 0.24; (L-I)/(L-S) = 0.42. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.68 mm, I=3.52 mm, S=1.97 mm.	S/L = 1.97/5.68 = 0.35; (L-I)/(L-S) = 0.58. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.46 mm, I=4.1 mm, S=3.31 mm.	S/L = 3.31/5.46 = 0.61; (L-I)/(L-S) = 0.63. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.99 mm, I=3.47 mm, S=2.86 mm.	S/L = 2.86/5.99 = 0.48; (L-I)/(L-S) = 0.81. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.02 mm, I=1.13 mm, S=0.97 mm.	S/L = 0.97/2.02 = 0.48; (L-I)/(L-S) = 0.85. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.28 mm, I=4.9 mm, S=3.26 mm.	S/L = 3.26/6.28 = 0.52; (L-I)/(L-S) = 0.46. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.49 mm, I=3.94 mm, S=1.63 mm.	S/L = 1.63/5.49 = 0.30; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.91 mm, I=1.3 mm, S=1.03 mm.	S/L = 1.03/1.91 = 0.54; (L-I)/(L-S) = 0.69. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.01 mm, I=4.42 mm, S=3.78 mm.	S/L = 3.78/5.01 = 0.75; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.26 mm, I=2.01 mm, S=0.97 mm.	S/L = 0.97/2.26 = 0.43; (L-I)/(L-S) = 0.19. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.86 mm, I=3.69 mm, S=2.09 mm.	S/L = 2.09/4.86 = 0.43; (L-I)/(L-S) = 0.42. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.41 mm, I=2.34 mm, S=1.25 mm.	S/L = 1.25/3.41 = 0.37; (L-I)/(L-S) = 0.5. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.67 mm, I=2.01 mm, S=0.83 mm.	S/L = 0.83/2.67 = 0.31; (L-I)/(L-S) = 0.36. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.45 mm, I=4.06 mm, S=2.2 mm.	S/L = 2.2/4.45 = 0.49; (L-I)/(L-S) = 0.17. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.58 mm, I=4.9 mm, S=3.91 mm.	S/L = 3.91/5.58 = 0.70; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.03 mm, I=1.84 mm, S=0.84 mm.	S/L = 0.84/3.03 = 0.28; (L-I)/(L-S) = 0.54. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.93 mm, I=4.21 mm, S=2.99 mm.	S/L = 2.99/4.93 = 0.61; (L-I)/(L-S) = 0.37. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.72 mm, I=2.34 mm, S=1.45 mm.	S/L = 1.45/2.72 = 0.53; (L-I)/(L-S) = 0.3. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.72 mm, I=4.88 mm, S=2.91 mm.	S/L = 2.91/5.72 = 0.51; (L-I)/(L-S) = 0.3. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.61 mm, I=5.13 mm, S=3.59 mm.	S/L = 3.59/6.61 = 0.54; (L-I)/(L-S) = 0.49. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.05 mm, I=4.52 mm, S=3.14 mm.	S/L = 3.14/5.05 = 0.62; (L-I)/(L-S) = 0.28. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.58 mm, I=1.49 mm, S=0.88 mm.	S/L = 0.88/2.58 = 0.34; (L-I)/(L-S) = 0.64. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.37 mm, I=2.22 mm, S=0.85 mm.	S/L = 0.85/3.37 = 0.25; (L-I)/(L-S) = 0.46. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.44 mm, I=2.99 mm, S=1.79 mm.	S/L = 1.79/4.44 = 0.40; (L-I)/(L-S) = 0.55. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.1 mm, I=1.85 mm, S=0.73 mm.	S/L = 0.73/2.1 = 0.35; (L-I)/(L-S) = 0.18. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.29 mm, I=5.61 mm, S=3.86 mm.	S/L = 3.86/6.29 = 0.61; (L-I)/(L-S) = 0.28. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.44 mm, I=3.26 mm, S=2.13 mm.	S/L = 2.13/4.44 = 0.48; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.92 mm, I=5.38 mm, S=3.21 mm.	S/L = 3.21/5.92 = 0.54; (L-I)/(L-S) = 0.2. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.01 mm, I=4.87 mm, S=2.57 mm.	S/L = 2.57/6.01 = 0.43; (L-I)/(L-S) = 0.33. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.27 mm, I=2.61 mm, S=1.0 mm.	S/L = 1.0/4.27 = 0.23; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.34 mm, I=2.13 mm, S=1.15 mm.	S/L = 1.15/2.34 = 0.49; (L-I)/(L-S) = 0.18. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.51 mm, I=4.14 mm, S=1.84 mm.	S/L = 1.84/5.51 = 0.33; (L-I)/(L-S) = 0.37. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.09 mm, I=2.24 mm, S=1.33 mm.	S/L = 1.33/3.09 = 0.43; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.52 mm, I=2.77 mm, S=1.54 mm.	S/L = 1.54/4.52 = 0.34; (L-I)/(L-S) = 0.59. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.27 mm, I=2.33 mm, S=1.25 mm.	S/L = 1.25/3.27 = 0.38; (L-I)/(L-S) = 0.47. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.91 mm, I=4.25 mm, S=3.0 mm.	S/L = 3.0/4.91 = 0.61; (L-I)/(L-S) = 0.35. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.14 mm, I=1.26 mm, S=0.91 mm.	S/L = 0.91/2.14 = 0.43; (L-I)/(L-S) = 0.72. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.28 mm, I=2.75 mm, S=1.96 mm.	S/L = 1.96/3.28 = 0.60; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.51 mm, I=5.85 mm, S=3.12 mm.	S/L = 3.12/6.51 = 0.48; (L-I)/(L-S) = 0.19. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.83 mm, I=2.93 mm, S=1.59 mm.	S/L = 1.59/4.83 = 0.33; (L-I)/(L-S) = 0.59. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.83 mm, I=5.66 mm, S=3.2 mm.	S/L = 3.2/6.83 = 0.47; (L-I)/(L-S) = 0.32. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.89 mm, I=4.52 mm, S=2.35 mm.	S/L = 2.35/4.89 = 0.48; (L-I)/(L-S) = 0.15. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.76 mm, I=3.26 mm, S=2.6 mm.	S/L = 2.6/3.76 = 0.69; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.28 mm, I=4.65 mm, S=3.52 mm.	S/L = 3.52/5.28 = 0.67; (L-I)/(L-S) = 0.36. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.36 mm, I=4.08 mm, S=2.88 mm.	S/L = 2.88/5.36 = 0.54; (L-I)/(L-S) = 0.52. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.0 mm, I=2.78 mm, S=1.53 mm.	S/L = 1.53/4.0 = 0.38; (L-I)/(L-S) = 0.49. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.74 mm, I=1.74 mm, S=1.52 mm.	S/L = 1.52/2.74 = 0.55; (L-I)/(L-S) = 0.82. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.33 mm, I=2.77 mm, S=1.18 mm.	S/L = 1.18/4.33 = 0.27; (L-I)/(L-S) = 0.5. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.2 mm, I=1.95 mm, S=0.79 mm.	S/L = 0.79/2.2 = 0.36; (L-I)/(L-S) = 0.18. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.81 mm, I=5.14 mm, S=4.3 mm.	S/L = 4.3/5.81 = 0.74; (L-I)/(L-S) = 0.44. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.0 mm, I=1.37 mm, S=1.06 mm.	S/L = 1.06/2.0 = 0.53; (L-I)/(L-S) = 0.67. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.48 mm, I=1.74 mm, S=0.76 mm.	S/L = 0.76/2.48 = 0.31; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.12 mm, I=5.25 mm, S=4.17 mm.	S/L = 4.17/6.12 = 0.68; (L-I)/(L-S) = 0.45. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.66 mm, I=1.93 mm, S=1.11 mm.	S/L = 1.11/2.66 = 0.42; (L-I)/(L-S) = 0.47. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.32 mm, I=3.43 mm, S=2.04 mm.	S/L = 2.04/5.32 = 0.38; (L-I)/(L-S) = 0.58. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
